fName,lName,isMaintenanceCertified,employeeType,salary,phoneNumber,email
Olympia,Biastock,False,Attraction Operator,31831,4169746048,olympiaolympia697@gmail.com
Keary,Worsham,True,Attraction Operator,36451,4169911449,kearyworsham954@iCloud.com
Braulio,Valme,False,Admissions Attendant,25688,4376226893,vv@gmail.com
Dyson,Doelling,True,Attraction Operator,33102,6476435094,dd512@gmail.com
Indya,Muhtaseb,True,Attraction Operator,30638,4163748860,mmuhtaseb516@iCloud.com
Aakash,Cordova,True,Attraction Operator,22469,5489344135,ac@yahoo.com
Tiani,Gladney,True,Admissions Attendant,21978,4161586936,tgladney176@gmail.com
Tamie,Rodrigres,True,Admissions Attendant,25148,6478081031,tamierodrigres813@outlook.com
Ezell,Alf,True,Attraction Operator,21009,4166641749,alfa773@gmail.com
Kendricks,Vanheukelem,False,Admissions Attendant,24179,6478997438,kendricksvanheukelem982@gmail.com
Kaveh,Dortch,False,Attraction Operator,21860,2262343640,kavehd464@gmail.com
Keeli,Luchterhand,False,Attraction Operator,39373,4169106895,keeliluchterhand538@gmail.com
Lashawna,Domingues,False,Attraction Operator,27892,2891203977,dominguesl222@gmail.com
Lillia,Mcalister,False,Admissions Attendant,33946,6476951839,mcalisterm951@outlook.com
Jami,Stent,True,Admissions Attendant,30101,4162032720,stentstent688@gmail.com
Kelan,Ferrer,True,Ride Technician,20174,5484816010,kkelan118@gmail.com
Jamille,Turberville,False,Admissions Attendant,23988,4372252319,jturberville982@gmail.com
Humza,Murrill,False,Admissions Attendant,31717,4169177142,mh@gmail.com
Almadelia,Hollinrake,True,Ride Technician,36016,4375372381,almadeliahollinrake@gmail.com
Soraida,Jasmer,False,Attraction Operator,24211,6473376397,jj293@iCloud.com
Tanecia,Barbrick,True,Ride Technician,35104,2899956874,taneciatanecia451@yahoo.com
Arelys,Arganbright,True,Attraction Operator,35809,5483597752,aa560@iCloud.com
Darrik,Rigley,True,Attraction Operator,30254,5488288639,ddarrik835@outlook.com
Rommel,Farese,True,Attraction Operator,28991,5199233258,rommelr525@iCloud.com
Evelena,Blacock,False,Attraction Operator,35906,2897742072,blacockblacock944@gmail.com
Halimah,Krzyminski,False,Admissions Attendant,25691,5197913209,halimahkrzyminski390@gmail.com
Sherril,Coxen,False,Attraction Operator,37629,2895534349,sherrilc510@gmail.com
